date,santacruz,santacruz_acum,santacruz_nrec,santacruz_trec,santacruz_diario2,santacruz_acum2,santacruz_ndeath,santacruz_tdeath,,,lapaz,lapaz_acum,lapaz_nrec,lapaz_trec,lapaz_diario2,lapaz_acum2,lapaz_ndeath,lapaz_tdeath,,,cochabamba,cochabamba_acum,cochabamba_nrec,cochabamba_trec,cochabamba_diario2,cochabamba_acum2,cochabamba_ndeath,cochabamba_tdeath,,,oruro,oruro_acum,oruro_nrec,oruro_trec,oruro_diario2,oruro_acum2,oruro_ndeath,oruro_tdeath,,,potosi,potosi_acum,potosi_nrec,potosi_trec,potosi_diario2,potosi_acum2,potosi_ndeath,potosi_tdeath,,,pando,pando_acum,pando_nrec,pando_trec,pando_diario2,pando_acum2,pando_ndeath,pando_tdeath,,,tarija,tarija_acum,tarija_nrec,tarija_trec,tarija_diario2,tarija_acum2,tarija_ndeath,tarija_tdeath,,,chuquisaca,chuquisaca_acum,chuquisaca_nrec,chuquisaca_trec,chuquisaca_diario2,chuquisaca_acum2,chuquisaca_ndeath,chuquisaca_tdeath,,,beni,beni_acum,beni_nrec,beni_trec,beni_diario2,beni_acum2,beni_ndeath,beni_tdeath,,,bolivia,bolivia_acum,bolivia_nrec,bolivia_trec,bolivia_diario2,bolivia_acum2,bolivia_ndeath,bolivia_tdeath,,
10/3/2020,1,1,0,0,1,1,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,1,0,0,1,1,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,2,2,0,0,2,2,0,0,0.00%,0.00%
11/3/2020,1,2,0,0,1,2,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,3,0,0,1,3,0,0,0.00%,0.00%
12/3/2020,0,2,0,0,0,2,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,3,0,0,0,3,0,0,0.00%,0.00%
13/3/2020,0,2,0,0,0,2,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,1,0,0,1,1,0,0,0.00%,0.00%,6,7,0,0,6,7,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,7,10,0,0,7,10,0,0,0.00%,0.00%
14/3/2020,0,2,0,0,0,2,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,7,0,0,0,7,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,10,0,0,0,10,0,0,0.00%,0.00%
15/3/2020,1,3,0,0,1,3,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,7,0,0,0,7,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,11,0,0,1,11,0,0,0.00%,0.00%
16/3/2020,0,3,0,0,0,3,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,7,0,0,0,7,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,11,0,0,0,11,0,0,0.00%,0.00%
17/3/2020,1,4,0,0,1,4,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,7,0,0,0,7,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,12,0,0,1,12,0,0,0.00%,0.00%
18/3/2020,0,4,0,0,0,4,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,1,0,0,0,1,0,0,0.00%,0.00%,0,7,0,0,0,7,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,12,0,0,0,12,0,0,0.00%,0.00%
19/3/2020,1,5,0,0,1,5,0,0,0.00%,0.00%,1,1,0,0,1,1,0,0,0.00%,0.00%,1,2,0,0,1,2,0,0,0.00%,0.00%,1,8,0,0,1,8,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,4,16,0,0,4,16,0,0,0.00%,0.00%
